,FlightPlanID,GUFI,ADES,ALDT,SIBT,SIBT+10,Date,DelayTime
0,9003924,ATAGA,ZGGG,2018-01-09 22:09:00,2018-01-09 22:05:00,2018-01-09 22:15:00,2018-01-09 00:00:00,-6.0
1,9004081,ATAGA,ZGGG,2018-01-09 23:46:00,2018-01-10 00:10:00,2018-01-10 00:20:00,2018-01-10 00:00:00,-34.0
2,9004349,ATAGA,ZGGG,2018-01-09 23:10:00,2018-01-09 23:05:00,2018-01-09 23:15:00,2018-01-09 00:00:00,-5.0
3,9004379,ATAGA,ZGGG,2018-01-10 06:17:00,2018-01-10 06:45:00,2018-01-10 06:55:00,2018-01-10 00:00:00,-38.0
4,9004549,ATAGA,ZGGG,2018-01-09 21:51:00,2018-01-09 21:55:00,2018-01-09 22:05:00,2018-01-09 00:00:00,-14.0
5,9004595,ATAGA,ZGGG,2018-01-09 22:24:00,2018-01-09 22:40:00,2018-01-09 22:50:00,2018-01-09 00:00:00,-26.0
6,9004688,ATAGA,ZGGG,2018-01-10 02:07:00,2018-01-10 01:50:00,2018-01-10 02:00:00,2018-01-10 00:00:00,7.0
7,9004762,ATAGA,ZGGG,2018-01-09 21:31:00,2018-01-09 22:00:00,2018-01-09 22:10:00,2018-01-09 00:00:00,-39.0
8,9005114,ATAGA,ZGGG,2018-01-10 04:47:00,2018-01-10 05:30:00,2018-01-10 05:40:00,2018-01-10 00:00:00,-53.0
9,9005744,ATAGA,ZGGG,2018-01-10 16:34:00,2018-01-10 16:30:00,2018-01-10 16:40:00,2018-01-10 00:00:00,-6.0
10,9005748,ATAGA,ZGGG,2018-01-10 15:00:00,2018-01-10 13:50:00,2018-01-10 14:00:00,2018-01-10 00:00:00,60.0
11,9005758,ATAGA,ZGGG,2018-01-10 12:10:00,2018-01-10 11:45:00,2018-01-10 11:55:00,2018-01-10 00:00:00,15.0
12,9005949,ATAGA,ZGGG,2018-01-10 13:40:00,2018-01-10 13:50:00,2018-01-10 14:00:00,2018-01-10 00:00:00,-20.0
13,9005952,ATAGA,ZGGG,2018-01-10 12:00:00,2018-01-10 11:30:00,2018-01-10 11:40:00,2018-01-10 00:00:00,20.0
14,9005970,ATAGA,ZGGG,2018-01-10 12:12:00,2018-01-10 12:15:00,2018-01-10 12:25:00,2018-01-10 00:00:00,-13.0
15,9005973,ATAGA,ZGGG,2018-01-10 13:53:00,2018-01-10 13:30:00,2018-01-10 13:40:00,2018-01-10 00:00:00,13.0
16,9006030,ATAGA,ZGGG,2018-01-10 08:23:00,2018-01-10 09:05:00,2018-01-10 09:15:00,2018-01-10 00:00:00,-52.0
17,9006180,ATAGA,ZGGG,2018-01-10 15:09:00,2018-01-10 14:15:00,2018-01-10 14:25:00,2018-01-10 00:00:00,44.0
18,9006365,ATAGA,ZGGG,2018-01-10 09:49:00,2018-01-10 09:40:00,2018-01-10 09:50:00,2018-01-10 00:00:00,-1.0
19,9006464,ATAGA,ZGGG,2018-01-10 08:31:00,2018-01-10 08:50:00,2018-01-10 09:00:00,2018-01-10 00:00:00,-29.0
20,9006477,ATAGA,ZGGG,2018-01-10 13:48:00,2018-01-10 14:00:00,2018-01-10 14:10:00,2018-01-10 00:00:00,-22.0
21,9006479,ATAGA,ZGGG,2018-01-10 14:45:00,2018-01-10 14:45:00,2018-01-10 14:55:00,2018-01-10 00:00:00,-10.0
22,9006503,ATAGA,ZGGG,2018-01-10 10:18:00,2018-01-10 10:50:00,2018-01-10 11:00:00,2018-01-10 00:00:00,-42.0
23,9006610,ATAGA,ZGGG,2018-01-10 12:33:00,2018-01-10 12:50:00,2018-01-10 13:00:00,2018-01-10 00:00:00,-27.0
24,9006707,ATAGA,ZGGG,2018-01-10 11:39:00,2018-01-10 11:45:00,2018-01-10 11:55:00,2018-01-10 00:00:00,-16.0
25,9006965,ATAGA,ZGGG,2018-01-10 13:50:00,2018-01-10 13:30:00,2018-01-10 13:40:00,2018-01-10 00:00:00,10.0
26,9007024,ATAGA,ZGGG,2018-01-10 14:51:00,2018-01-10 15:05:00,2018-01-10 15:15:00,2018-01-10 00:00:00,-24.0
27,9007040,ATAGA,ZGGG,2018-01-10 12:23:00,2018-01-10 12:35:00,2018-01-10 12:45:00,2018-01-10 00:00:00,-22.0
28,9007115,ATAGA,ZGGG,2018-01-10 10:40:00,2018-01-10 11:10:00,2018-01-10 11:20:00,2018-01-10 00:00:00,-40.0
29,9007196,ATAGA,ZGGG,2018-01-10 11:04:00,2018-01-10 11:05:00,2018-01-10 11:15:00,2018-01-10 00:00:00,-11.0
