,FlightPlanID,GUFI,ADES,ALDT,SIBT,SIBT+10,Date,DelayTime
0,9168963,GYA,ZGGG,2018-01-27 00:56:00,2018-01-27 01:10:00,2018-01-27 01:20:00,2018-01-27 00:00:00,-24.0
1,9169255,GYA,ZGGG,2018-01-26 21:43:00,2018-01-26 21:20:00,2018-01-26 21:30:00,2018-01-26 00:00:00,13.0
2,9169260,GYA,ZGGG,2018-01-26 23:20:00,2018-01-26 23:35:00,2018-01-26 23:45:00,2018-01-26 00:00:00,-25.0
3,9169449,GYA,ZGGG,2018-01-27 01:41:00,2018-01-27 01:50:00,2018-01-27 02:00:00,2018-01-27 00:00:00,-19.0
4,9169707,GYA,ZGGG,2018-01-27 00:53:00,2018-01-27 01:05:00,2018-01-27 01:15:00,2018-01-27 00:00:00,-22.0
5,9170036,GYA,ZGGG,2018-01-27 13:20:00,2018-01-27 14:20:00,2018-01-27 14:30:00,2018-01-27 00:00:00,-70.0
6,9170086,GYA,ZGGG,2018-01-27 09:25:00,2018-01-27 09:30:00,2018-01-27 09:40:00,2018-01-27 00:00:00,-15.0
7,9170324,GYA,ZGGG,2018-01-27 03:53:00,2018-01-27 04:20:00,2018-01-27 04:30:00,2018-01-27 00:00:00,-37.0
8,9170379,GYA,ZGGG,2018-01-27 04:50:00,2018-01-27 04:40:00,2018-01-27 04:50:00,2018-01-27 00:00:00,0.0
9,9170416,GYA,ZGGG,2018-01-27 03:45:00,2018-01-27 04:00:00,2018-01-27 04:10:00,2018-01-27 00:00:00,-25.0
10,9170453,GYA,ZGGG,2018-01-27 15:13:00,2018-01-27 15:15:00,2018-01-27 15:25:00,2018-01-27 00:00:00,-12.0
11,9170568,GYA,ZGGG,2018-01-27 10:56:00,2018-01-27 11:15:00,2018-01-27 11:25:00,2018-01-27 00:00:00,-29.0
12,9170572,GYA,ZGGG,2018-01-27 11:12:00,2018-01-27 11:25:00,2018-01-27 11:35:00,2018-01-27 00:00:00,-23.0
13,9170591,GYA,ZGGG,2018-01-27 12:37:00,2018-01-27 12:50:00,2018-01-27 13:00:00,2018-01-27 00:00:00,-23.0
14,9170608,GYA,ZGGG,2018-01-27 14:03:00,2018-01-27 13:55:00,2018-01-27 14:05:00,2018-01-27 00:00:00,-2.0
15,9170765,GYA,ZGGG,2018-01-27 12:01:00,2018-01-27 12:05:00,2018-01-27 12:15:00,2018-01-27 00:00:00,-14.0
16,9170777,GYA,ZGGG,2018-01-27 12:29:00,2018-01-27 12:35:00,2018-01-27 12:45:00,2018-01-27 00:00:00,-16.0
17,9170814,GYA,ZGGG,2018-01-27 14:08:00,2018-01-27 14:10:00,2018-01-27 14:20:00,2018-01-27 00:00:00,-12.0
18,9170852,GYA,ZGGG,2018-01-27 10:16:00,2018-01-27 10:45:00,2018-01-27 10:55:00,2018-01-27 00:00:00,-39.0
19,9170854,GYA,ZGGG,2018-01-27 09:20:00,2018-01-27 09:20:00,2018-01-27 09:30:00,2018-01-27 00:00:00,-10.0
20,9171199,GYA,ZGGG,2018-01-27 10:06:00,2018-01-27 09:40:00,2018-01-27 09:50:00,2018-01-27 00:00:00,16.0
21,9171239,GYA,ZGGG,2018-01-27 09:17:00,2018-01-27 09:40:00,2018-01-27 09:50:00,2018-01-27 00:00:00,-33.0
22,9171328,GYA,ZGGG,2018-01-27 15:10:00,2018-01-27 14:35:00,2018-01-27 14:45:00,2018-01-27 00:00:00,25.0
23,9171332,GYA,ZGGG,2018-01-27 12:14:00,2018-01-27 11:50:00,2018-01-27 12:00:00,2018-01-27 00:00:00,14.0
24,9171334,GYA,ZGGG,2018-01-27 11:06:00,2018-01-27 10:50:00,2018-01-27 11:00:00,2018-01-27 00:00:00,6.0
25,9171335,GYA,ZGGG,2018-01-27 13:30:00,2018-01-27 13:05:00,2018-01-27 13:15:00,2018-01-27 00:00:00,15.0
26,9171437,GYA,ZGGG,2018-01-27 12:57:00,2018-01-27 12:50:00,2018-01-27 13:00:00,2018-01-27 00:00:00,-3.0
27,9171451,GYA,ZGGG,2018-01-27 09:48:00,2018-01-27 10:15:00,2018-01-27 10:25:00,2018-01-27 00:00:00,-37.0
28,9171518,GYA,ZGGG,2018-01-27 10:41:00,2018-01-27 10:50:00,2018-01-27 11:00:00,2018-01-27 00:00:00,-19.0
29,9171688,GYA,ZGGG,2018-01-27 13:47:00,2018-01-27 13:40:00,2018-01-27 13:50:00,2018-01-27 00:00:00,-3.0
30,9171773,GYA,ZGGG,2018-01-27 11:18:00,2018-01-27 11:25:00,2018-01-27 11:35:00,2018-01-27 00:00:00,-17.0
31,9171902,GYA,ZGGG,2018-01-27 13:01:00,2018-01-27 10:50:00,2018-01-27 11:00:00,2018-01-27 00:00:00,121.0
32,9172015,GYA,ZGGG,2018-01-27 11:51:00,2018-01-27 12:05:00,2018-01-27 12:15:00,2018-01-27 00:00:00,-24.0
33,9172406,GYA,ZGGG,2018-01-27 12:41:00,2018-01-27 13:10:00,2018-01-27 13:20:00,2018-01-27 00:00:00,-39.0
34,9172586,GYA,ZGGG,2018-01-27 14:22:00,2018-01-27 14:40:00,2018-01-27 14:50:00,2018-01-27 00:00:00,-28.0
35,9172655,GYA,ZGGG,2018-01-27 11:34:00,2018-01-27 12:15:00,2018-01-27 12:25:00,2018-01-27 00:00:00,-51.0
36,9172837,GYA,ZGGG,2018-01-27 12:52:00,2018-01-27 12:55:00,2018-01-27 13:05:00,2018-01-27 00:00:00,-13.0
37,9172843,GYA,ZGGG,2018-01-27 15:25:00,2018-01-27 15:35:00,2018-01-27 15:45:00,2018-01-27 00:00:00,-20.0
38,9172844,GYA,ZGGG,2018-01-27 13:58:00,2018-01-27 14:15:00,2018-01-27 14:25:00,2018-01-27 00:00:00,-27.0
39,9173074,GYA,ZGGG,2018-01-27 13:33:00,2018-01-27 14:00:00,2018-01-27 14:10:00,2018-01-27 00:00:00,-37.0
40,9173656,GYA,ZGGG,2018-01-27 15:38:00,2018-01-27 15:50:00,2018-01-27 16:00:00,2018-01-27 00:00:00,-22.0
41,9173678,GYA,ZGGG,2018-01-27 19:20:00,2018-01-27 19:30:00,2018-01-27 19:40:00,2018-01-27 00:00:00,-20.0
