,FlightPlanID,GUFI,ADES,ALDT,SIBT,SIBT+10,Date,DelayTime
0,9004007,IDUMA,ZGGG,2018-01-09 20:16:00,2018-01-09 20:15:00,2018-01-09 20:25:00,2018-01-09 00:00:00,-9.0
1,9004442,IDUMA,ZGGG,2018-01-10 01:58:00,2018-01-10 02:25:00,2018-01-10 02:35:00,2018-01-10 00:00:00,-37.0
2,9004850,IDUMA,ZGGG,2018-01-10 03:02:00,2018-01-10 02:50:00,2018-01-10 03:00:00,2018-01-10 00:00:00,2.0
3,9004885,IDUMA,ZGGG,2018-01-10 01:02:00,2018-01-10 01:05:00,2018-01-10 01:15:00,2018-01-10 00:00:00,-13.0
4,9005742,IDUMA,ZGGG,2018-01-10 15:37:00,2018-01-10 15:10:00,2018-01-10 15:20:00,2018-01-10 00:00:00,17.0
5,9005746,IDUMA,ZGGG,2018-01-10 17:34:00,2018-01-10 17:35:00,2018-01-10 17:45:00,2018-01-10 00:00:00,-11.0
6,9005880,IDUMA,ZGGG,2018-01-10 09:03:00,2018-01-10 08:55:00,2018-01-10 09:05:00,2018-01-10 00:00:00,-2.0
7,9006530,IDUMA,ZGGG,2018-01-10 09:21:00,2018-01-10 09:40:00,2018-01-10 09:50:00,2018-01-10 00:00:00,-29.0
8,9006532,IDUMA,ZGGG,2018-01-10 08:17:00,2018-01-10 08:40:00,2018-01-10 08:50:00,2018-01-10 00:00:00,-33.0
9,9006534,IDUMA,ZGGG,2018-01-10 11:42:00,2018-01-10 11:50:00,2018-01-10 12:00:00,2018-01-10 00:00:00,-18.0
10,9006540,IDUMA,ZGGG,2018-01-10 10:11:00,2018-01-10 10:10:00,2018-01-10 10:20:00,2018-01-10 00:00:00,-9.0
11,9007113,IDUMA,ZGGG,2018-01-10 07:17:00,2018-01-10 08:05:00,2018-01-10 08:15:00,2018-01-10 00:00:00,-58.0
12,9007199,IDUMA,ZGGG,2018-01-10 12:07:00,2018-01-10 12:05:00,2018-01-10 12:15:00,2018-01-10 00:00:00,-8.0
13,9007951,IDUMA,ZGGG,2018-01-10 10:01:00,2018-01-10 10:05:00,2018-01-10 10:15:00,2018-01-10 00:00:00,-14.0
14,9007981,IDUMA,ZGGG,2018-01-10 10:09:00,2018-01-10 10:25:00,2018-01-10 10:35:00,2018-01-10 00:00:00,-26.0
