,FlightPlanID,GUFI,ADES,ALDT,SIBT,SIBT+10,Date,DelayTime
0,9003945,IGONO,ZGGG,2018-01-10 00:02:00,2018-01-10 00:15:00,2018-01-10 00:25:00,2018-01-10 00:00:00,-23.0
1,9003974,IGONO,ZGGG,2018-01-10 00:10:00,2018-01-10 00:35:00,2018-01-10 00:45:00,2018-01-10 00:00:00,-35.0
2,9004047,IGONO,ZGGG,2018-01-09 21:11:00,2018-01-09 21:45:00,2018-01-09 21:55:00,2018-01-09 00:00:00,-44.0
3,9004348,IGONO,ZGGG,2018-01-09 22:54:00,2018-01-09 22:55:00,2018-01-09 23:05:00,2018-01-09 00:00:00,-11.0
4,9004416,IGONO,ZGGG,2018-01-10 02:36:00,2018-01-10 01:00:00,2018-01-10 01:10:00,2018-01-10 00:00:00,86.0
5,9004436,IGONO,ZGGG,2018-01-10 00:36:00,2018-01-10 00:45:00,2018-01-10 00:55:00,2018-01-10 00:00:00,-19.0
6,9004684,IGONO,ZGGG,2018-01-09 22:28:00,2018-01-09 23:00:00,2018-01-09 23:10:00,2018-01-09 00:00:00,-42.0
7,9004988,IGONO,ZGGG,2018-01-10 01:36:00,2018-01-10 01:00:00,2018-01-10 01:10:00,2018-01-10 00:00:00,26.0
8,9005078,IGONO,ZGGG,2018-01-10 05:07:00,2018-01-10 05:20:00,2018-01-10 05:30:00,2018-01-10 00:00:00,-23.0
9,9005110,IGONO,ZGGG,2018-01-10 05:50:00,2018-01-10 06:00:00,2018-01-10 06:10:00,2018-01-10 00:00:00,-20.0
10,9005129,IGONO,ZGGG,2018-01-11 04:07:00,2018-01-11 04:05:00,2018-01-11 04:15:00,2018-01-11 00:00:00,-8.0
11,9005238,IGONO,ZGGG,2018-01-10 13:57:00,2018-01-10 14:20:00,2018-01-10 14:30:00,2018-01-10 00:00:00,-33.0
12,9005271,IGONO,ZGGG,2018-01-10 05:12:00,2018-01-10 04:30:00,2018-01-10 04:40:00,2018-01-10 00:00:00,32.0
13,9005453,IGONO,ZGGG,2018-01-10 04:53:00,2018-01-10 05:30:00,2018-01-10 05:40:00,2018-01-10 00:00:00,-47.0
14,9005521,IGONO,ZGGG,2018-01-10 03:55:00,2018-01-10 04:30:00,2018-01-10 04:40:00,2018-01-10 00:00:00,-45.0
15,9005586,IGONO,ZGGG,2018-01-10 04:39:00,2018-01-10 04:50:00,2018-01-10 05:00:00,2018-01-10 00:00:00,-21.0
16,9005588,IGONO,ZGGG,2018-01-10 09:57:00,2018-01-10 10:10:00,2018-01-10 10:20:00,2018-01-10 00:00:00,-23.0
17,9005749,IGONO,ZGGG,2018-01-10 17:49:00,2018-01-10 18:25:00,2018-01-10 18:35:00,2018-01-10 00:00:00,-46.0
18,9005751,IGONO,ZGGG,2018-01-10 12:05:00,2018-01-10 12:00:00,2018-01-10 12:10:00,2018-01-10 00:00:00,-5.0
19,9005939,IGONO,ZGGG,2018-01-10 13:04:00,2018-01-10 12:05:00,2018-01-10 12:15:00,2018-01-10 00:00:00,49.0
20,9005960,IGONO,ZGGG,2018-01-10 13:36:00,2018-01-10 13:50:00,2018-01-10 14:00:00,2018-01-10 00:00:00,-24.0
21,9005987,IGONO,ZGGG,2018-01-10 14:25:00,2018-01-10 14:10:00,2018-01-10 14:20:00,2018-01-10 00:00:00,5.0
22,9006404,IGONO,ZGGG,2018-01-10 11:59:00,2018-01-10 12:25:00,2018-01-10 12:35:00,2018-01-10 00:00:00,-36.0
23,9006497,IGONO,ZGGG,2018-01-10 14:19:00,2018-01-10 14:35:00,2018-01-10 14:45:00,2018-01-10 00:00:00,-26.0
24,9006501,IGONO,ZGGG,2018-01-10 11:31:00,2018-01-10 12:00:00,2018-01-10 12:10:00,2018-01-10 00:00:00,-39.0
25,9006522,IGONO,ZGGG,2018-01-10 13:37:00,2018-01-10 12:55:00,2018-01-10 13:05:00,2018-01-10 00:00:00,32.0
26,9006571,IGONO,ZGGG,2018-01-10 11:55:00,2018-01-10 11:40:00,2018-01-10 11:50:00,2018-01-10 00:00:00,5.0
