,FlightPlanID,GUFI,ADEP,ATOT,SOBT,SOBT+30,Date,DelayTime
0,9004084,LMN,ZGGG,2018-01-09 23:15:00,2018-01-09 23:00:00,2018-01-09 23:30:00,2018-01-09 00:00:00,-15.0
1,9004197,LMN,ZGGG,2018-01-09 19:16:00,2018-01-09 18:55:00,2018-01-09 19:25:00,2018-01-09 00:00:00,-9.0
2,9004205,LMN,ZGGG,2018-01-09 22:09:00,2018-01-09 22:10:00,2018-01-09 22:40:00,2018-01-09 00:00:00,-31.0
3,9004460,LMN,ZGGG,2018-01-09 19:31:00,2018-01-09 18:20:00,2018-01-09 18:50:00,2018-01-09 00:00:00,41.0
4,9004516,LMN,ZGGG,2018-01-09 20:26:00,2018-01-09 20:20:00,2018-01-09 20:50:00,2018-01-09 00:00:00,-24.0
5,9004563,LMN,ZGGG,2018-01-09 20:22:00,2018-01-09 20:15:00,2018-01-09 20:45:00,2018-01-09 00:00:00,-23.0
6,9004601,LMN,ZGGG,2018-01-10 00:10:00,2018-01-09 23:55:00,2018-01-10 00:25:00,2018-01-10 00:00:00,-15.0
7,9004803,LMN,ZGGG,2018-01-09 19:59:00,2018-01-09 19:00:00,2018-01-09 19:30:00,2018-01-09 00:00:00,29.0
8,9005023,LMN,ZGGG,2018-01-05 08:09:00,2018-01-05 07:10:00,2018-01-05 07:40:00,2018-01-05 00:00:00,29.0
9,9005116,LMN,ZGGG,2018-01-10 00:50:00,2018-01-10 00:20:00,2018-01-10 00:50:00,2018-01-10 00:00:00,0.0
10,9005120,LMN,ZGGG,2018-01-10 01:42:00,2018-01-10 01:30:00,2018-01-10 02:00:00,2018-01-10 00:00:00,-18.0
11,9005250,LMN,ZGGG,2018-01-10 05:12:00,2018-01-10 04:50:00,2018-01-10 05:20:00,2018-01-10 00:00:00,-8.0
12,9005251,LMN,ZGGG,2018-01-10 03:54:00,2018-01-10 03:20:00,2018-01-10 03:50:00,2018-01-10 00:00:00,4.0
13,9005448,LMN,ZGGG,2018-01-10 03:46:00,2018-01-10 03:00:00,2018-01-10 03:30:00,2018-01-10 00:00:00,16.0
14,9005553,LMN,ZGGG,2018-01-10 05:01:00,2018-01-10 04:35:00,2018-01-10 05:05:00,2018-01-10 00:00:00,-4.0
15,9005557,LMN,ZGGG,2018-01-10 05:10:00,2018-01-10 03:35:00,2018-01-10 04:05:00,2018-01-10 00:00:00,65.0
16,9005559,LMN,ZGGG,2018-01-10 04:25:00,2018-01-10 04:00:00,2018-01-10 04:30:00,2018-01-10 00:00:00,-5.0
17,9005562,LMN,ZGGG,2018-01-10 00:09:00,2018-01-10 00:05:00,2018-01-10 00:35:00,2018-01-10 00:00:00,-26.0
18,9005568,LMN,ZGGG,2018-01-10 04:04:00,2018-01-10 02:40:00,2018-01-10 03:10:00,2018-01-10 00:00:00,54.0
19,9005571,LMN,ZGGG,2018-01-10 06:39:00,2018-01-10 05:00:00,2018-01-10 05:30:00,2018-01-10 00:00:00,69.0
20,9005574,LMN,ZGGG,2018-01-10 00:53:00,2018-01-10 00:50:00,2018-01-10 01:20:00,2018-01-10 00:00:00,-27.0
21,9005613,LMN,ZGGG,2018-01-10 02:15:00,2018-01-10 02:45:00,2018-01-10 03:15:00,2018-01-10 00:00:00,-60.0
22,9005628,LMN,ZGGG,2018-01-10 03:33:00,2018-01-10 02:50:00,2018-01-10 03:20:00,2018-01-10 00:00:00,13.0
23,9005705,LMN,ZGGG,2018-01-10 06:44:00,2018-01-10 06:20:00,2018-01-10 06:50:00,2018-01-10 00:00:00,-6.0
24,9005743,LMN,ZGGG,2018-01-10 09:17:00,2018-01-10 08:35:00,2018-01-10 09:05:00,2018-01-10 00:00:00,12.0
25,9005761,LMN,ZGGG,2018-01-10 08:56:00,2018-01-10 08:55:00,2018-01-10 09:25:00,2018-01-10 00:00:00,-29.0
26,9006010,LMN,ZGGG,2018-01-10 11:57:00,2018-01-10 11:40:00,2018-01-10 12:10:00,2018-01-10 00:00:00,-13.0
27,9006118,LMN,ZGGG,2018-01-10 11:26:00,2018-01-10 10:55:00,2018-01-10 11:25:00,2018-01-10 00:00:00,1.0
28,9006129,LMN,ZGGG,2018-01-10 06:51:00,2018-01-10 06:45:00,2018-01-10 07:15:00,2018-01-10 00:00:00,-24.0
29,9006154,LMN,ZGGG,2018-01-10 06:48:00,2018-01-10 06:20:00,2018-01-10 06:50:00,2018-01-10 00:00:00,-2.0
30,9006161,LMN,ZGGG,2018-01-10 07:21:00,2018-01-10 06:55:00,2018-01-10 07:25:00,2018-01-10 00:00:00,-4.0
