,FlightPlanID,GUFI,ADEP,ATOT,SOBT,SOBT+30,Date,DelayTime
0,9003885,VIBOS,ZGGG,2018-01-09 22:56:00,2018-01-09 22:20:00,2018-01-09 22:50:00,2018-01-09 00:00:00,6.0
1,9003895,VIBOS,ZGGG,2018-01-09 20:04:00,2018-01-09 19:55:00,2018-01-09 20:25:00,2018-01-09 00:00:00,-21.0
2,9003913,VIBOS,ZGGG,2018-01-09 22:03:00,2018-01-09 21:50:00,2018-01-09 22:20:00,2018-01-09 00:00:00,-17.0
3,9004002,VIBOS,ZGGG,2018-01-09 22:09:00,2018-01-09 22:00:00,2018-01-09 22:30:00,2018-01-09 00:00:00,-21.0
4,9004051,VIBOS,ZGGG,2018-01-09 20:00:00,2018-01-09 19:45:00,2018-01-09 20:15:00,2018-01-09 00:00:00,-15.0
5,9004147,VIBOS,ZGGG,2018-01-09 21:09:00,2018-01-09 20:30:00,2018-01-09 21:00:00,2018-01-09 00:00:00,9.0
6,9004471,VIBOS,ZGGG,2018-01-09 19:56:00,2018-01-09 19:15:00,2018-01-09 19:45:00,2018-01-09 00:00:00,11.0
7,9004481,VIBOS,ZGGG,2018-01-09 20:28:00,2018-01-09 19:30:00,2018-01-09 20:00:00,2018-01-09 00:00:00,28.0
8,9004973,VIBOS,ZGGG,2018-01-09 21:56:00,2018-01-09 21:50:00,2018-01-09 22:20:00,2018-01-09 00:00:00,-24.0
9,9005076,VIBOS,ZGGG,2018-01-10 02:43:00,2018-01-10 02:30:00,2018-01-10 03:00:00,2018-01-10 00:00:00,-17.0
10,9005239,VIBOS,ZGGG,2018-01-10 00:27:00,2018-01-10 00:10:00,2018-01-10 00:40:00,2018-01-10 00:00:00,-13.0
11,9005252,VIBOS,ZGGG,2018-01-10 03:15:00,2018-01-10 02:50:00,2018-01-10 03:20:00,2018-01-10 00:00:00,-5.0
12,9005255,VIBOS,ZGGG,2018-01-10 08:24:00,2018-01-10 05:45:00,2018-01-10 06:15:00,2018-01-10 00:00:00,129.0
13,9005256,VIBOS,ZGGG,2018-01-10 04:13:00,2018-01-10 03:55:00,2018-01-10 04:25:00,2018-01-10 00:00:00,-12.0
14,9005263,VIBOS,ZGGG,2018-01-10 05:54:00,2018-01-10 05:55:00,2018-01-10 06:25:00,2018-01-10 00:00:00,-31.0
15,9005269,VIBOS,ZGGG,2018-01-10 03:40:00,2018-01-10 03:10:00,2018-01-10 03:40:00,2018-01-10 00:00:00,0.0
16,9005293,VIBOS,ZGGG,2018-01-10 02:00:00,2018-01-10 01:35:00,2018-01-10 02:05:00,2018-01-10 00:00:00,-5.0
17,9005298,VIBOS,ZGGG,2018-01-10 04:06:00,2018-01-10 03:45:00,2018-01-10 04:15:00,2018-01-10 00:00:00,-9.0
18,9005304,VIBOS,ZGGG,2018-01-10 02:09:00,2018-01-10 02:00:00,2018-01-10 02:30:00,2018-01-10 00:00:00,-21.0
19,9005522,VIBOS,ZGGG,2018-01-10 05:05:00,2018-01-10 03:45:00,2018-01-10 04:15:00,2018-01-10 00:00:00,50.0
20,9005733,VIBOS,ZGGG,2018-01-10 08:28:00,2018-01-10 07:30:00,2018-01-10 08:00:00,2018-01-10 00:00:00,28.0
21,9005738,VIBOS,ZGGG,2018-01-10 08:58:00,2018-01-10 08:35:00,2018-01-10 09:05:00,2018-01-10 00:00:00,-7.0
22,9005752,VIBOS,ZGGG,2018-01-10 08:56:00,2018-01-10 08:30:00,2018-01-10 09:00:00,2018-01-10 00:00:00,-4.0
23,9005767,VIBOS,ZGGG,2018-01-10 11:43:00,2018-01-10 11:35:00,2018-01-10 12:05:00,2018-01-10 00:00:00,-22.0
